state,cases
Alaska,100
Alabama,3700
Arizona,5400
Arkansas,1300
California,42100
Colorado,5500
Connecticut,1180
Delaware,1700
Florida,110700
Georgia,10700
Hawaii,11000
Idaho,5000
Illinois,10500
Indiana,4900
Iowa,2600
Kansas,2000
Kentucky,3100
Louisiana,3800
Maine,1200
Maryland,13000
Massachusetts,11900
Michigan,6700
Minnesota,6600
Mississippi,2300
Missouri,3700
Montana,900
Nebraska,1300
Nevada,2200
New Hampshire,1100
New Jersey,18000
New Mexico,1000
New York,100200
North Carolina,10000
North Dakota,300
Ohio,8300
Oklahoma,2900
Oregon,4700
Pennsylvania,17500
Rhode Island,5500
South Carolina,6100
South Dakota,300
Tennessee,6100
Texas,31200
Utah,2100
Vermont,1100
Virginia,10800
Washington,6900
West Virginia,1100
Wisconsin,6000
Wyoming,300
